대학,학년도,전형구분,전형,모집단위,모집,경쟁률,충원,50%cut,70%cut,canon2026
서울대,2021,학생부종합,기회균형선발특별전형Ⅰ(농어촌),경영대학,3,3.67,0,1.2X,1.5X,
서울대,2021,학생부종합,기회균형선발특별전형Ⅰ(농어촌),인문계열,6,5.33,0,1.3X,1.4X,
서울대,2021,학생부종합,기회균형선발특별전형Ⅰ(저소득),인문계열,7,5.14,0,1.9X,2.9X,
서울대,2021,학생부종합,일반전형,경영대학,50,5.52,0,2.0X,2.2X,
서울대,2021,학생부종합,일반전형,경제학부,64,3.73,0,1.8X,2.1X,
서울대,2021,학생부종합,일반전형,고고미술사학과,10,5.10,0,2.9X,3.1X,
서울대,2021,학생부종합,일반전형,교육학과,12,9.58,1,1.3X,1.4X,
서울대,2021,학생부종합,일반전형,국사학과,12,5.17,0,2.2X,2.9X,
서울대,2021,학생부종합,일반전형,국어교육과,10,5.60,0,1.3X,1.7X,
서울대,2021,학생부종합,일반전형,국어국문학과,15,4.93,0,2.3X,2.4X,
서울대,2021,학생부종합,일반전형,노어노문학과,10,5.10,0,2.6X,2.7X,
서울대,2021,학생부종합,일반전형,농경제사회학부,19,8.16,0,1.8X,2.2X,
서울대,2021,학생부종합,일반전형,독어교육과,10,4.20,0,2.1X,2.9X,
서울대,2021,학생부종합,일반전형,독어독문학과,10,4.60,0,2.2X,2.5X,
서울대,2021,학생부종합,일반전형,동양사학과,10,5.50,0,1.8X,1.9X,
서울대,2021,학생부종합,일반전형,물리교육과,7,4.43,1,1.5X,2.1X,
서울대,2021,학생부종합,일반전형,미학과,10,8.00,0,2.2X,2.8X,
서울대,2021,학생부종합,일반전형,불어교육과,10,4.40,0,2.4X,2.8X,
서울대,2021,학생부종합,일반전형,불어불문학과,10,5.10,0,2.4X,2.7X,
서울대,2021,학생부종합,일반전형,사회교육과,6,8.33,0,1.6X,1.9X,
서울대,2021,학생부종합,일반전형,사회학과,10,14.80,0,2.0X,2.1X,
서울대,2021,학생부종합,일반전형,생물교육과,7,6.86,1,1.5X,1.6X,
서울대,2021,학생부종합,일반전형,서양사학과,10,5.20,0,2.7X,2.9X,
